gap=(3, 'right') | true vx,vy=( 0.046,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.048,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.050,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.052,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.053,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.055,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.056,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.058,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.059,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.061,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.062,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.064,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.065,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.066,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.067,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.068,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.069,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.070,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.071,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.072,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.073,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.074,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.074,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.075,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.076,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.077,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.077,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.078,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.078,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.079,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.079,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.080,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.080,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.081,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.081,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.081,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.082,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.082,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.082,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.083,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.083,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.083,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.084,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.084,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.084,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.084,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.085,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.085,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.085,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.085,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.085,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.086,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.086,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.086,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.086,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.086,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.087,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.087,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.087,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.087,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.087,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.087,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.087,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.088,  0.000) | pred vx,vy=( 0.094, -0.002)
