time,gap_id,side,x,y,vx,vy,ns
7.725000,8,right,4.324637,0.053178,-0.483794,0.146884,simp
7.765000,10,left,4.125958,-1.422416,-0.197827,0.054135,simp
7.765000,8,right,4.319810,0.106253,-0.475747,0.132071,simp
7.805000,10,left,4.113189,-1.361663,-0.219967,0.060613,simp
7.805000,8,right,4.314611,0.159228,-0.464925,0.117344,simp
7.840000,10,left,4.103541,-1.302707,-0.242722,0.066811,simp
7.840000,8,right,4.310257,0.212164,-0.451959,0.103310,simp
7.885000,10,left,4.097473,-1.245534,-0.264612,0.072678,simp
7.885000,8,right,4.306641,0.265103,-0.436612,0.090377,simp
7.925000,10,left,4.163295,-1.265543,-0.271897,0.063958,simp
7.925000,8,right,4.303741,0.318087,-0.419081,0.078812,simp
7.960000,10,left,4.146729,-1.205012,-0.281394,0.057919,simp
7.960000,8,right,4.301597,0.371160,-0.399509,0.068806,simp
8.000000,10,left,4.143183,-1.148930,-0.290191,0.053586,simp
8.005000,8,right,4.299145,0.424263,-0.378259,0.060467,simp
8.045000,10,left,4.142455,-1.094060,-0.297654,0.050696,simp
8.045000,8,right,4.285533,0.476194,-0.357711,0.053619,simp
8.085000,10,left,4.142702,-1.039808,-0.303594,0.049105,simp
8.085000,8,right,4.257502,0.526151,-0.340577,0.047898,simp
8.120000,10,left,4.143624,-0.986044,-0.308137,0.048786,simp
8.120000,8,right,4.214907,0.573587,-0.329463,0.042932,simp
8.180000,10,left,4.144977,-0.932668,-0.310542,0.049227,simp
8.180000,8,right,4.157887,0.617989,-0.325666,0.037771,simp
8.205000,10,left,4.146658,-0.879623,-0.311550,0.050725,simp
8.205000,8,right,4.087942,0.659065,-0.331366,0.032250,simp
8.245000,10,left,4.201596,-0.891277,-0.301030,0.040923,simp
8.245000,8,right,4.006424,0.696568,-0.347290,0.025657,simp
8.285000,10,left,4.190918,-0.835300,-0.292488,0.033667,simp
8.285000,8,right,3.967217,0.790713,-0.363975,0.028365,simp
8.325000,10,left,4.181793,-0.780148,-0.285472,0.029760,simp
8.325000,8,right,3.864075,0.819679,-0.393300,0.028249,simp
8.365000,10,left,4.177857,-0.726374,-0.278760,0.027410,simp
8.365000,8,right,3.775048,0.849430,-0.430714,0.024568,simp
8.405000,10,left,4.175122,-0.673120,-0.272100,0.026732,simp
8.405000,8,right,3.702078,0.880971,-0.471869,0.018460,simp
8.440000,10,left,4.173206,-0.620266,-0.265280,0.027443,simp
8.440000,8,right,3.695516,0.976019,-0.503381,0.022191,simp
8.480000,10,left,4.234338,-0.629352,-0.246507,0.017724,simp
8.480000,8,right,3.638046,1.008852,-0.535790,0.023000,simp
8.525000,10,left,4.218609,-0.574091,-0.231520,0.011075,simp
