session_id,run_id,time,gap_id,side,x,y,vx,vy,ns
dgap_26-05-05_10-40-58,0,6.725000,10,left,3.724371,-2.769397,-0.283661,0.081123,simp
dgap_26-05-05_10-40-58,0,6.725000,11,right,4.687184,-1.551683,0.051757,0.241958,simp
dgap_26-05-05_10-40-58,0,6.765000,10,left,3.749121,-2.716859,-0.290065,0.099642,simp
dgap_26-05-05_10-40-58,0,6.765000,11,right,4.709883,-1.495196,0.051245,0.232773,simp
dgap_26-05-05_10-40-58,0,6.800000,10,left,3.808762,-2.760079,-0.285877,0.092348,simp
dgap_26-05-05_10-40-58,0,6.805000,11,right,4.731041,-1.438124,0.051610,0.223486,simp
dgap_26-05-05_10-40-58,0,6.850000,10,left,3.831971,-2.705668,-0.281455,0.086985,simp
dgap_26-05-05_10-40-58,0,6.850000,11,right,4.744885,-1.378833,0.051062,0.214527,simp
dgap_26-05-05_10-40-58,0,6.885000,10,left,3.856566,-2.652581,-0.276113,0.082832,simp
dgap_26-05-05_10-40-58,0,6.885000,11,right,4.750066,-1.317222,0.048403,0.206291,simp
dgap_26-05-05_10-40-58,0,6.925000,10,left,3.880726,-2.599494,-0.270676,0.079767,simp
dgap_26-05-05_10-40-58,0,6.925000,11,right,4.747724,-1.253917,0.041944,0.199082,simp
dgap_26-05-05_10-40-58,0,6.965000,10,left,3.904501,-2.546433,-0.264768,0.077642,simp
dgap_26-05-05_10-40-58,0,6.965000,11,right,4.737821,-1.189181,0.031349,0.193071,simp
dgap_26-05-05_10-40-58,0,7.005000,10,left,3.927968,-2.493442,-0.258416,0.076316,simp
dgap_26-05-05_10-40-58,0,7.005000,11,right,4.720515,-1.123325,0.016048,0.188307,simp
dgap_26-05-05_10-40-58,0,7.040000,10,left,3.951099,-2.440491,-0.251658,0.075669,simp
dgap_26-05-05_10-40-58,0,7.040000,11,right,4.696247,-1.056710,-0.004332,0.184737,simp
dgap_26-05-05_10-40-58,0,7.080000,10,left,3.973877,-2.387562,-0.244545,0.075595,simp
dgap_26-05-05_10-40-58,0,7.080000,11,right,4.665248,-0.989631,-0.030056,0.182242,simp
